id,imagem,url
246,Seychelles.png,img/bandeiras/Seychelles.png
247,Shetland II.png,img/bandeiras/Shetland II.png
248,Sierra Leone.png,img/bandeiras/Sierra Leone.png
249,Silésia.png,img/bandeiras/Silésia.png
250,Sint Maarten-1.png,img/bandeiras/Sint Maarten-1.png
251,Sint Maarten.png,img/bandeiras/Sint Maarten.png
252,Slovakia.png,img/bandeiras/Slovakia.png
253,Slovenia.png,img/bandeiras/Slovenia.png
254,Solomon Islands.png,img/bandeiras/Solomon Islands.png
255,Somalia.png,img/bandeiras/Somalia.png
256,Somaliland.png,img/bandeiras/Somaliland.png
257,South Korea.png,img/bandeiras/South Korea.png
258,South Ossetia.png,img/bandeiras/South Ossetia.png
259,South Sudan.png,img/bandeiras/South Sudan.png
260,South Yemen.png,img/bandeiras/South Yemen.png
261,Sudan.png,img/bandeiras/Sudan.png
262,Suiça.png,img/bandeiras/Suiça.png
263,Suriname.png,img/bandeiras/Suriname.png
264,Surrey.png,img/bandeiras/Surrey.png
265,Suécia.png,img/bandeiras/Suécia.png
266,Syria.png,img/bandeiras/Syria.png
267,Székely Land.png,img/bandeiras/Székely Land.png
268,Sápmi.png,img/bandeiras/Sápmi.png
269,São Tomé and Príncipe.png,img/bandeiras/São Tomé and Príncipe.png
270,Taiwan.png,img/bandeiras/Taiwan.png
271,Tajikistan.png,img/bandeiras/Tajikistan.png
272,Tamil Eelam.png,img/bandeiras/Tamil Eelam.png
273,Tanzania.png,img/bandeiras/Tanzania.png
274,Thailand.png,img/bandeiras/Thailand.png
275,Tibet.png,img/bandeiras/Tibet.png
276,Ticino.png,img/bandeiras/Ticino.png
277,Timor-Leste.png,img/bandeiras/Timor-Leste.png
278,Togo.png,img/bandeiras/Togo.png
279,Tonga.png,img/bandeiras/Tonga.png
280,Tunisia.png,img/bandeiras/Tunisia.png
281,Turkey.png,img/bandeiras/Turkey.png
282,Turkmenistan.png,img/bandeiras/Turkmenistan.png
283,Turks and Caicos Islands.png,img/bandeiras/Turks and Caicos Islands.png
284,Tuvalu.png,img/bandeiras/Tuvalu.png
285,Two Sicilies.png,img/bandeiras/Two Sicilies.png
286,Ucrânia.png,img/bandeiras/Ucrânia.png
287,Uganda.png,img/bandeiras/Uganda.png
288,Ungaria.png,img/bandeiras/Ungaria.png
289,United Arab Emirates.png,img/bandeiras/United Arab Emirates.png
290,United Koreans in Japan.png,img/bandeiras/United Koreans in Japan.png
291,United States Virgin Islands.png,img/bandeiras/United States Virgin Islands.png
292,United States.png,img/bandeiras/United States.png
293,Uruguay.png,img/bandeiras/Uruguay.png
294,Uzbekistan.png,img/bandeiras/Uzbekistan.png
295,Vanuatu.png,img/bandeiras/Vanuatu.png
296,Vatican City.png,img/bandeiras/Vatican City.png
297,Venezuela.png,img/bandeiras/Venezuela.png
298,Vietnam Republic.png,img/bandeiras/Vietnam Republic.png
299,Vietnam.png,img/bandeiras/Vietnam.png
300,Wales.png,img/bandeiras/Wales.png
301,Wallis Islands and Futuna.png,img/bandeiras/Wallis Islands and Futuna.png
302,West Papua.png,img/bandeiras/West Papua.png
303,Western Armenia.png,img/bandeiras/Western Armenia.png
304,Western Australia.png,img/bandeiras/Western Australia.png
305,Western Isles.png,img/bandeiras/Western Isles.png
306,Western Sahara.png,img/bandeiras/Western Sahara.png
307,Yemen DPR.png,img/bandeiras/Yemen DPR.png
308,Yemen.png,img/bandeiras/Yemen.png
309,Ynys Môn.png,img/bandeiras/Ynys Môn.png
310,Yorkshire.png,img/bandeiras/Yorkshire.png
311,Yoruba Nation.png,img/bandeiras/Yoruba Nation.png
312,Yugoslávia.png,img/bandeiras/Yugoslávia.png
313,Zambia.png,img/bandeiras/Zambia.png
314,Zanzibar.png,img/bandeiras/Zanzibar.png
315,Zimbabwe.png,img/bandeiras/Zimbabwe.png
316,china.png,img/bandeiras/china.png
317,guensey.png,img/bandeiras/guensey.png
318,guyana.png,img/bandeiras/guyana.png
319,holanda.png,img/bandeiras/holanda.png
320,imagens.csv,img/bandeiras/imagens.csv
321,insert_imagens.sql,img/bandeiras/insert_imagens.sql
322,jersey.png,img/bandeiras/jersey.png
323,northen ireland.png,img/bandeiras/northen ireland.png
324,romenia.png,img/bandeiras/romenia.png
325,tridade e tobago.png,img/bandeiras/tridade e tobago.png
326,África do Sul.png,img/bandeiras/África do Sul.png
327,Åland Islands.png,img/bandeiras/Åland Islands.png
